"Name","Description","Note"
"String","String","String"
"MOVING",,
"JUMPING",,
"DASHING",,
"CHARGING",,
"PATHFINDING",,
"ATTACKING",,
"NO_MOVE",,"Implemented"
"NO_JUMP",,
"NO_DASH",,
"NO_CHARGE",,
"NO_ATTACK",,"Implemented"
"NO_TARGET",,
"LOCK_TARGET",,
"NO_SPAWNTIMER","Equivalent to ModifySpawnTimer, back compatibility tag, it will be removed","Implemented"
"NO_CHECKCOLLISIONS","Disable MoveComponent check collisions","Implemented"
"NO_CHECKAVOIDANCE","Disable MoveComponent check avoidance","Implemented"
"NO_BUFFS","New buffs are ignored","Implemented"
"NO_PUSHED_BY_ENEMY","Unit is not pushed by enemies (only walking ground units)","Implemented"
"NO_SHADOW","If the tag is active the character will not have a shadow (temp tag?)","Implemented"
"STOP_FREEZE","If the tag is active Global Freeze is disabled (event December 2023)",
